nama_penulis,rating,teks_ulasan,waktu,likes,case_holding_sentimen,sentimen,ulasan_bersih
Lisna Indriawati,5.0,Pelayanan baik dan memuaskan,4 months ago,0,Netral,Positif,layan muas
Vina Puspitasari,5.0,"Pelayanan cepat, ramah, harga terjangkau, yang paling penting kualitasnyaa gaperlu diragukannn gaiss top markotop",a year ago,0,Positif,Positif,layan cepat ramah harga jangkau kualitasnyaa gaperlu diragukannn gaiss top markotop
Luthfi Nashiruddin,5.0,"tempat beli laptop second recomanded,pelayanannya bagus,harga murah,pengalaman saya beli laptop disini dapat potongan harga yang lumayan👍🏼👍🏼👍🏼👍🏼👍🏼",a year ago,0,Netral,Positif,beli laptop second recomandedpelayanannya bagusharga murahpengalaman beli laptop potong harga lumayan
Tri Hartati _,5.0,"Pelayanan ramah dan memuaskan, laptop nya keren dan edisi terbaru . Nggak sia2 jauh2 dari purworejo kesini . Mantappp",a year ago,0,Netral,Positif,layan ramah muas laptop nya keren edisi baru nggak sia purworejo kesini mantappp
18.471 Muhammad Titan Ardhana Maheswara,5.0,"Tempat cari gadget recomended banget, khusunya laptop. cari laptop second disini, dibantu kasih rekomendasi sama mas mas pegawainya. Pelayanan super ramah, dan sangat membantu menentukan pilihan.",2 years ago,0,Positif,Positif,cari gadget recomended banget khusunya laptop cari laptop second bantu kasih rekomendasi mas mas pegawai layan super ramah bantu tentu pilih
Lutung Kasarung,5.0,"Toko laptop second recomended di Jogja. Barangnya dijamin bagus dan berkualitas. Dari segi harga relatif ya. Kalau beruntung bisa dapet laptop second yang baru pemakaian sebentar atau laptop yang masih ada garansi resmi, dan tentu dengan harga yang relatif murah",3 years ago,0,Netral,Positif,toko laptop second recomended jogja barang jamin bagus kualitas segi harga relatif ya untung dapet laptop second pakai sebentar laptop garansi resmi harga relatif murah
Arda Lana,5.0,Toko laptop gaming yg proper untuk dikunjungi,5 months ago,0,Netral,Positif,toko laptop gaming yg proper kunjung
mahami,5.0,Saya sangat merekomendasikan Hero Computer bagi siapa pun yang membutuhkan produk laptop bekas berkualitas dengan pelayanan yang luar biasa. Tempat ini benar-benar menjadi pilihan terbaik untuk berbelanja kebutuhan teknologi kita.,2 years ago,0,Netral,Positif,rekomendasi hero computer butuh produk laptop bekas kualitas layan benarbenar pilih baik belanja butuh teknologi
Muhammad Rizkyy Arya,5.0,"Mantap jiwa, recommend broku",2 months ago,0,Netral,Positif,mantap jiwa recommend broku
Fadhlurrohman Salim (Arsip),5.0,"Toko jual beli laptop rekomen di jogja, tempatnya nyaman, pelayanannya juga ramah bestt👍",9 months ago,0,Netral,Positif,toko jual beli laptop rekomen jogja tempat nyaman layan ramah bestt
Isma Suhaimi,5.0,"Pelayanan oke banget, informasi yang disampaikan juga jelas.. recommended untuk beli laptop second",a year ago,0,Netral,Positif,layan oke banget informasi recommended beli laptop second
Annisa Nur Hidayati,5.0,"rekomend banget sihh buat yang lagi cari laptop.. hargaa okee kualitas juara, pelayanannya juga ga kalah oke.",Edited 2 years ago,0,Netral,Positif,rekomend banget sihh cari laptop hargaa okee kualitas juara layan ga kalah oke
yustika ardiningsih,5.0,"Hero Computer Jogja memang mantapppppssss, barang²nya oke punya dan harganya aman dikantong gak nyesel deh kalo beli disini, kuyyy yg belum nyobain belanja laptop disini buruannn cobain pasti gak nyesel 🥳🥳🥳",2 years ago,0,Netral,Positif,hero computer jogja mantapppppssss barang oke harga aman kantong gak nyesel deh kalo beli kuyyy yg nyobain belanja laptop buruannn cobain gak nyesel
Esy Lia,5.0,Hero komputer diskonya mantapsss,a year ago,0,Netral,Positif,hero komputer disko mantapsss
valentina martha,5.0,"Pelayanan oke, semoga awet. Terima kasih sudah dibantu",10 months ago,0,Netral,Positif,layan oke moga awet terima kasih bantu
Ryo Efrandy,5.0,"Mantap ngab.. ramah mas.e dikasih bnyak recommed,",3 years ago,0,Netral,Positif,mantap ngab ramah mase kasih bnyak recommed
Muhammad Winaris,5.0,pelayanan baik untuk customer pemula,2 months ago,0,Netral,Positif,layan customer mula
Taufik Saputra,5.0,"Josjis, rekomendasi laptop bekas berkualitas bergaransi resmi",2 years ago,0,Netral,Positif,josjis rekomendasi laptop bekas kualitas garansi resmi
otto dwi risdiyanto,5.0,"Barang like new, pelayanan oke",2 years ago,0,Positif,Positif,barang like new layan oke
0756 _MIKCHAEL YOHANES KUHUELA,5.0,"Tempat cari gadget recomended banget, khusunya laptop. Aku cari laptop second disini, Kalau masih bingun mau myari laptop apa tenang mas masnya bisa bantuin nyaranin.Pelayanan super ramah, dan sangat membantu menentukan pilihan.",2 years ago,0,Positif,Positif,cari gadget recomended banget khusunya laptop cari laptop second bingun myari laptop tenang mas mas bantuin nyaraninpelayanan super ramah bantu tentu pilih
MagangMBKM Al Azhar,5.0,"mau buat review niat nih buat hero computer karena puas order disini :Dhihihi
1. instagram jelas dengan semua keterangan dan foto yang menarik
2. banyak testimoni pengiriman dan pelayanan yang baik
3. banyak pilihan laptop bekas generasi baru dengan harga terbaik (daripada beli baru mending beli sini) hehehe
4. pelayanan dan tempat yang nyaman
5. pokoknya sukses terusss hihi
thankyou",3 years ago,0,Netral,Positif,review niat nih hero computer puas order dhihihi instagram terang foto tarik testimoni kirim layan pilih laptop bekas generasi harga baik beli mending beli hehehe layan nyaman pokok sukses terusss hihi thankyou
pintam retnosari,5.0,"Tempat jual beli laptop yang nyaman, pelayanan menyenangkan, Kualitas barang mulus. Layak bintang 5,tunggu apa lagi gas!",a year ago,0,Netral,Positif,jual beli laptop nyaman layan senang kualitas barang mulus layak bintang tunggu gas
ABANG,5.0,"Toko laptop ternyaman, termurah, & penjual yg ramah jelasin spek laptop bagi konsumen sampe sedail & serinci mungkin bestbpokoknya deh👍👍👍",a year ago,0,Netral,Positif,toko laptop nyaman murah jual yg ramah jelasin spek laptop konsumen sampe sedail serinci bestbpokoknya deh
Verra Vindriani,5.0,"Mantap. Seller sangat ramah, dan membantu",6 months ago,0,Netral,Positif,mantap seller ramah bantu
Ravido Agasy,5.0,"Recomended banget, tempatnyaa nyaman, pelayanan ramah, dan harga standar sesuai spek, dan bisa negoo",a year ago,0,Netral,Positif,recomended banget tempatnyaa nyaman layan ramah harga standar sesuai spek negoo
Ketzstar,5.0,"Pelayanan mantap,harga terjangkau, recommended buat yang mau nyari laptop",a year ago,0,Netral,Positif,layan mantapharga jangkau recommended nyari laptop
Alnisa Dipa Pramesti,5.0,"Pelayanan oke, barang bagus sekaliiii 👍🏻👍🏻👍🏻
Harganya pun bersahabat 🧡",a year ago,0,Netral,Positif,layan oke barang bagus sekaliiii harga sahabat
nanda putri,5.0,pelayanannya cukup baik tempatnya jg nyaman,7 months ago,0,Netral,Positif,layan tempat jg nyaman
Ryan Kurnia Pratama,5.0,"Pelayanannya bagus, laptopnya OK murah dan kualitasnya bagus dapet bonus mouse juga terbaik🤟🏻🤟🏻🤟🏻 semoga sukses selalu yaaaaa!",a year ago,0,Positif,Positif,layan bagus laptop ok murah kualitas bagus dapet bonus mouse baik moga sukses yaaaaa
Lutung Kasarung,5.0,"Toko laptop second recomended di Jogja. Barangnya dijamin bagus dan berkualitas. Dari segi harga relatif ya. Kalau beruntung bisa dapet laptop second yang baru pemakaian sebentar atau laptop yang masih ada garansi resmi, dan tentu dengan harga yang relatif murah",3 years ago,0,Netral,Positif,toko laptop second recomended jogja barang jamin bagus kualitas segi harga relatif ya untung dapet laptop second pakai sebentar laptop garansi resmi harga relatif murah
Mardi Yanto,5.0,Unit barang sesuai dengan yang ada di IG,4 months ago,0,Netral,Positif,unit barang sesuai ig
Adhitya Romanna Randha,5.0,Pengalaman beli laptop di Hero Computer Jogja sangat memuaskan. Pelayanan cukup ramah dan kondisi laptop dalam keadaan baik. Sukses selalu 👍🏻,a year ago,0,Netral,Positif,alam beli laptop hero computer jogja muas layan ramah kondisi laptop sukses
Muhammad Wildan Islamay Firdaus,5.0,Rekomendasi Beli Laptop Bekas Berkualitas ya di Hero Computer Jogja,8 months ago,0,Netral,Positif,rekomendasi beli laptop bekas kualitas ya hero computer jogja
Daqiq F Putri,5.0,"Tempat bagus dan amanah untuk pembelian laptop second, admin juga gercep dan informatif. Sebelum beli boleh tanya-tanya dulu dan booking. Bisa cek di instagram juga unit unitnya atau better bertanya langsung ke adminnya untuk unitnya",a year ago,0,Positif,Positif,bagus amanah beli laptop second admin gercep informatif beli tanyatanya booking cek instagram unit unit better langsung adminnya unit
Muhammad Arrafiiq,5.0,"admin fast respon, pelayanan ramah, kondisi laptop masih sangat bagus, ditambah garansi toko dan resminya masih aktif",a year ago,0,Positif,Positif,admin fast respon layan ramah kondisi laptop bagus tambah garansi toko resmi aktif
Abda,1.0,Harga jualnya jelek sekali.,Edited a year ago,0,Netral,Negatif,harga jual jelek
Iqbal Nuruddin,5.0,pelayanan yang baik,3 months ago,0,Netral,Positif,layan
aditya kurniawan,5.0,Mantab... Pelayanan Ramah... Harga Bersahabat,2 years ago,0,Netral,Positif,mantab layan ramah harga sahabat
Yadino Adi,5.0,"Pelayanam ramah, sangat informatif.. best. Kondisi laptop masih oke banget. Semoga sukses selalu",a year ago,0,Positif,Positif,pelayanam ramah informatif best kondisi laptop oke banget moga sukses
Ahmad Farras,5.0,"tempat yang bersih dan nyaman, pelayanan yang baik dan ramah, harga yang terjangkau, mantap lah pokoknya",a year ago,0,Netral,Positif,bersih nyaman layan ramah harga jangkau mantap pokok
achmad azril,5.0,"Recommended seller laptop second berkualitas, banyak bonusnya, trusted bgtt, dengan harga yang friendly di pembeli 🔥🔥",a year ago,0,Positif,Positif,recommended seller laptop second kualitas bonus trusted bgtt harga friendly beli
Arin Delfia,5.0,"Pelayanan cepat dan ramah,sudah 3 kali beli laptop kesini sangar rekomendasi banget",a year ago,0,Netral,Positif,layan cepat ramahsudah kali beli laptop kesini sangar rekomendasi banget
S MNR,5.0,"Mas"" e ramah, satset singkat jelas mantap",2 years ago,0,Netral,Positif,mas e ramah satset singkat mantap
Paris Pare,5.0,"Seller ramah dan tempat nyaman. Cari laptop bekas namun masih ada garansi resmi, coba cari disini atau tanyakan stok ke nomor yg tercantum. Pokok e puas kro layanan e, ramah, amanah, dan bisa booking dulu.",4 years ago,0,Netral,Positif,seller ramah nyaman cari laptop bekas garansi resmi coba cari stok nomor yg cantum pokok e puas kro layan e ramah amanah booking
17-Muhammad Rizqi Pangestu,5.0,"unit banyak pilihan, recommended, dijelasin semua unitnya",6 months ago,0,Netral,Positif,unit pilih recommended dijelasin unit
Satya Wahyu Kurniawan,5.0,"Seller sangat ramah, enak diajak ngobrol konsul2 mana laptop yang terbaik. Josss sangat recomended",a year ago,0,Netral,Positif,seller ramah enak ajak ngobrol konsul laptop baik josss recomended
Hanif Lutfiana,5.0,"Layanan ramah,tempatnya enak dan bersih, mudah ditemui",3 years ago,0,Netral,Positif,layan ramahtempatnya enak bersih mudah temu
Setyaka Panji,5.0,pelayanan oke dan mantap,3 months ago,0,Netral,Positif,layan oke mantap
p4nca _oenec,5.0,"Pelayanannya ramah, sangat membantu ketika saya banyak bertanya , untuk harganya sangat terjangkau dan kualitasnya oke.",a year ago,0,Netral,Positif,layan ramah bantu harga jangkau kualitas oke
Bayu Temaja,5.0,"harga terbaik , semoga awet lama barang e , suwun bro ku faza",a year ago,0,Netral,Positif,harga baik moga awet barang e suwun bro ku faza
Yasinta A.,5.0,Tempat beli laptop bekas terpercaya di Jogja. Banyak pilihan & produk masih bagus. Harga bersaing. Seller responsif.,a year ago,0,Netral,Positif,beli laptop bekas percaya jogja pilih produk bagus harga saing seller responsif
zulfa sho,5.0,"Tempatnya strategis, gampang dicari nyaman dan bersih. Barangnya mantab"" ga mengecewakan, fast respon di dm lewat ig, keren pokoknya👍👍",2 years ago,0,Positif,Positif,tempat strategis gampang cari nyaman bersih barang mantab ga kecewa fast respon dm ig keren pokok
Bunga Khairunnisa Official,5.0,"Alhamdulillah, bisa ngejual laptop disini. Pelayanan baik banget, topp!",10 months ago,0,Netral,Positif,alhamdulillah ngejual laptop layan banget topp
Aditya krisna prabandanu,5.0,"Rekomendasi buat beli laptop di yogyakarta yang terpercaya, sukses selalu",3 years ago,0,Netral,Positif,rekomendasi beli laptop yogyakarta percaya sukses
4 Muhammad Syatho' Azizi,5.0,Stock laptop selalu lengkap dan harganya terjangkau untuk kalangan mahasiswa Jogja👍👍👍,8 months ago,0,Netral,Positif,stock laptop lengkap harga jangkau kalang mahasiswa jogja
Rizky Kurniawan (elvrizkykurahong),5.0,"Tempat beli laptop bekas, bisa nitip jual juga di sini. Penjaganya ramah, murah², kualitas terjamin. Bisa coba² dulu buat cek kondisi barang juga. Pengalaman beli juga asik sih, nego santai, semua senang. Keren! 🍻",3 years ago,0,Netral,Positif,beli laptop bekas nitip jual jaga ramah murah kualitas jamin coba cek kondisi barang alam beli asik sih nego santai senang keren
Novian joko Wibowo,5.0,"Seller nya ramah, dan terpercaya dengan detail barang komplit beserta bukti2, komunikasi ny nyaman karna sangat terbuka dengan imformasi produk secara riil",2 years ago,0,Netral,Positif,seller nya ramah percaya detail barang komplit serta bukti komunikasi ny nyaman karna buka imformasi produk riil
Violet Wonosobo,5.0,Tak kira biasa ternyata luar biasa,8 months ago,0,Netral,Positif,
Everedy Lemans,5.0,Pelayanan sat set joss pokoknya,6 months ago,0,Netral,Positif,layan sat set joss pokok
Hafizh,5.0,kemarin abis beli disini murah banget,6 months ago,0,Netral,Positif,kemarin abis beli murah banget
djatie mutesa,5.0,pelayanannyaa mantappp,5 months ago,0,Netral,Positif,pelayanannyaa mantappp
Hanif Nw,5.0,pelayanan ramah dan komunikatif. barang yang dijual juga masih oke banget super recommended👍🏼,a year ago,0,Positif,Positif,layan ramah komunikatif barang jual oke banget super recommended
Dekorasi by Ala,5.0,Cari laptop berkualitas langsung gas kesini🤗,a year ago,0,Netral,Positif,cari laptop kualitas langsung gas kesini
Muhammad Aprilian Fadholi,5.0,"Laptop second berkualitas, masih bergaransi resmi, pelayanan joss, recomended,,,",2 years ago,0,Netral,Positif,laptop second kualitas garansi resmi layan joss recomended
Grum Charter,5.0,"Pelayanan baik. Sangat memuaskan, rekomendasi banget buat yang lagi cari laptop seken tapi dengan kualitas premium.",2 years ago,0,Netral,Positif,layan muas rekomendasi banget cari laptop ken kualitas premium
Anissa Qunita,5.0,"pelayanan ramah, harga terjangkau, insyaallah kualitas bintang 5 ✨✨",a year ago,0,Netral,Positif,layan ramah harga jangkau insyaallah kualitas bintang
Rifdah Hardaning Tyas,5.0,"Second like new dengan potongan harga juga. Mantap, ditunggu discount berikutnya 🤭🔥✨",a year ago,0,Netral,Positif,second like new potong harga mantap tunggu discount
farizy cholis,5.0,Pelayanan bagus dan barang nya bagus,a year ago,0,Netral,Positif,layan bagus barang nya bagus
Moh. Ihsan Fauzi,5.0,"Pelayanan ramah dan laptop benar2 generasi terbaru meskipun second, kebetulan dapat laptop yg bener2 like new",2 years ago,0,Netral,Positif,layan ramah laptop generasi baru second laptop yg bener like new
rifqi muhammad,5.0,"Tempat nya bagus,penjaga toko membantu menjelaskan tentang performa dan spesifikasi laptop yang ingin dibeli secara detail, bahkan diberi perbandingan sehingga penjelasan mudah dipahami",3 years ago,0,Netral,Positif,nya baguspenjaga toko bantu performa spesifikasi laptop beli detail banding jelas mudah paham
Shofiya Qonita,5.0,"pelayanan sangat baik, kualitas laptop juga bagus dan sesuai dengan harga",a year ago,0,Netral,Positif,layan kualitas laptop bagus sesuai harga
Panji Suryandhika,5.0,Pelayanan Ramah Mantap,3 months ago,0,Netral,Positif,layan ramah mantap
Ahmad Bagus,5.0,"Keseluruhan: ""Overall sangat memuaskan, saya kasih bintang 5""

Barang nya juga bagus dan sangat recommended bagi yang cari laptop harga merakyat kualitas pejabat.

Pokokny gas keun sobat😁👍",3 years ago,0,Netral,Positif,overall muas kasih bintang barang nya bagus recommended cari laptop harga rakyat kualitas jabat pokokny gas keun sobat
Masayu Nadia,5.0,"Tempat beli laptop second terbaik, pelayanan ramah, setiap pertanyaan di jawab dengan sabar dan detail. Recommended",2 years ago,0,Netral,Positif,beli laptop second baik layan ramah sabar detail recommended
Felisitas,5.0,"Tempatnyaa baguss, harga budget mahasiswaaa bangettt🫰🏽",8 months ago,0,Netral,Positif,tempatnyaa baguss harga budget mahasiswaaa bangettt
isa setyawan,5.0,"Kualitas laptopnya joss bgt like NEW!!! pemberian garansi 1thn bener"" Sangat membantu dan juga yg terpenting HARGA nya yg JAUH Lebih MURAH dr harga normal tapi kondisi nya masih JOS!!!
RECOMENDED BANGET POKOK E",4 years ago,0,Positif,Positif,kualitas laptop joss bgt like new beri garansi thn bener bantu yg penting harga nya yg murah dr harga normal kondisi nya jos recomended banget pokok e
irsan faisal,5.0,Fasilitas bagus layanan yang professional👍,5 months ago,0,Netral,Positif,fasilitas bagus layan professional
Brian Doke,5.0,"Pelayanan bagus, haga murah, penjelasanya sangat detail, mantap👍",a year ago,0,Netral,Positif,layan bagus haga murah jasa detail mantap
Hera,1.0,Pernah benerin disini tp engsel malah rusak plus wifi & bluetooth ngga berfungsi akhirnya ke tempat servis lain lebih murah dan dibenerin semua,2 years ago,0,Netral,Negatif,benerin tp engsel rusak plus wifi bluetooth ngga fungsi servis murah dibenerin
Pamungkas Sugihartoko,5.0,Koleksi mantab . Harga oke..  pelayanan juosss..,2 years ago,0,Netral,Positif,koleksi mantab harga oke layan juosss
Msi Glory,5.0,Laptop second murah kualiatas terjamin,a year ago,0,Netral,Positif,laptop second murah kualiatas jamin
Noor Chaukab,5.0,"Sangat memuaskan, admin ramah, dan menjelaskan dengan baik.",8 months ago,0,Netral,Positif,muas admin ramah
TUKANG BANGUNAN_YT,5.0,"Barang bagus harga bersahabat, pelayanan ramah",10 months ago,0,Netral,Positif,barang bagus harga sahabat layan ramah
farhan saputra,5.0,pelayanan ramah all good untuk semuanya,6 months ago,0,Positif,Positif,layan ramah all good
Bang Fajar Theday,5.0,"Recommended banget buat cari laptop bekas, tapi kualitas joss. Kalo disini harus cepet2 booking, kalo gak ya keduluan sama yg lain. Wkwk.. Tapi mantep sih, stok banyak pilihan juga",3 years ago,0,Netral,Positif,recommended banget cari laptop bekas kualitas joss kalo cepet booking kalo gak ya keduluan yg wkwk mantep sih stok pilih
Rahma Wijayani,5.0,Baru pertama kali kesini bismillah awet buat kuliah dan barokah,8 months ago,0,Netral,Positif,kali kesini bismillah awet kuliah barokah
Ohim ohh,5.0,"JOSSS POLL, Ra hoaxx",2 months ago,0,Netral,Positif,josss poll ra hoaxx
Ayesha Nuha Auliyaa,5.0,"tempat cari laptop yang recommended, bisa dapet yang masih ada garansi resminya juga, harganya worth it, masnya ramah, semoga amanah selalu",2 years ago,0,Positif,Positif,cari laptop recommended dapet garansi resmi harga worth it mas ramah moga amanah
Bihan Firman Wicaksono,5.0,"Pelayanan mantap, laptop masih bagus",7 months ago,0,Netral,Positif,layan mantap laptop bagus
Anang Bachtiar Rifai,5.0,Sangat recomendet barang bagus barang second tp versi baru penjual nya sangat ramah dan sabar saat di tanya tanya,2 years ago,0,Netral,Positif,recomendet barang bagus barang second tp versi jual nya ramah sabar
Faisal Ainnurrokhim,5.0,"Jos, beli di sini aja! ga usah bingung termasuk liat review. Cus lgsg chat/ dateng ke tokonya hahaha😁",3 years ago,0,Netral,Positif,jos beli aja ga bingung liat review cus lgsg chat dateng toko hahaha
Ayu Hanifah,5.0,"mas yang ngelayaninnya ramah banget dan dijelasin detail, barang juga aman dan garansi resmi masih lama🥰",2 years ago,0,Netral,Positif,mas ngelayaninnya ramah banget dijelasin detail barang aman garansi resmi
Elki Putra,5.0,Mantul no debat,8 months ago,0,Netral,Positif,mantul no debat
Muhammad Sakhin Nursena_FT,5.0,"Kualitas sangatt bagus, recomended sekaliii, pelayanannya sangat ramah dan fast respon, bagi kalian yg mau cari laptop 2nd wajib ke Hero Computer jogja",3 years ago,0,Netral,Positif,kualitas sangatt bagus recomended sekaliii layan ramah fast respon yg cari laptop nd wajib hero computer jogja
Aathif Alwan,5.0,Laptop bekas tapi ga kaleng² mantepp,a year ago,0,Netral,Positif,laptop bekas ga kaleng mantepp
trie setyaningsih,5.0,Pusat laptop second berkualitas di Jogja. Mantap pokoknya. Selalu langganan di sini. Cuss gas ke sini ajah. Kalau bisa dapat yang second kualitas mantap. Kenapa harus beli yang baru 😁😁😁,3 years ago,0,Netral,Positif,pusat laptop second kualitas jogja mantap pokok langgan cuss gas ajah second kualitas mantap beli
Muhammad Riski,5.0,Mantul deh pelayanan bagus dan pengiriman cepat,3 years ago,0,Netral,Positif,mantul deh layan bagus kirim cepat
AKBAR,5.0,"Penjual ramah, rekomen buat cari laptop bekas terbaik & termurah di Jogja pokoknya👍👍👍",a year ago,0,Netral,Positif,jual ramah rekomen cari laptop bekas baik murah jogja pokok
Dawang Gilang,5.0,Pelayanan ramah barang bagus terbaik,2 years ago,0,Netral,Positif,layan ramah barang bagus baik
Angga Purwanto,5.0,"pelayanannya bagus banget, karyawannya ramah"". mantap recomended banget buat beli laptop bekas like new",2 years ago,0,Positif,Positif,layan bagus banget karyawannya ramah mantap recomended banget beli laptop bekas like new
Lenny fitriana dewi,5.0,Gudangnya laptop second berkualitas..dg harga terjangkau..masih dapat tambahan bonus lagi 😁,a year ago,0,Netral,Positif,gudang laptop second berkualitasdg harga terjangkaumasih tambah bonus
RAJA MAHENDRA PRAMUWIDAGDO,5.0,"Pelayanan sangat ramah, mas nya sabar dan baik, unit laptop sangat bagus dan mulus",a year ago,0,Netral,Positif,layan ramah mas nya sabar unit laptop bagus mulus
syamhudz,5.0,"Tempat jual beli laptop termurah, terpercaya, di jogja. unit seger2 pastinya...",10 months ago,0,Netral,Positif,jual beli laptop murah percaya jogja unit seger pasti
Shebil Wibowo,5.0,Laptop second tapi kondisinya kayak barang baru. Untuk harga terjangkau. Mantap pokoknya. Lancar terus buat hero komputer 🙏,a year ago,0,Netral,Positif,laptop second kondisi kayak barang harga jangkau mantap pokok lancar hero komputer
Buah Anggur,5.0,"bagus banget, toko aman dan terpercaya, adminnya juga ramah bangettt, bintang 5 🤩",2 years ago,0,Netral,Positif,bagus banget toko aman percaya adminnya ramah bangettt bintang
B Azis Dwi Mukti,5.0,"Pelayanan nya ramah sekali, penjelasan lengkap kualitas laptop terbaik pokok nya",a year ago,0,Netral,Positif,layan nya ramah jelas lengkap kualitas laptop baik pokok nya
ZORO ZURO,5.0,Pelayanan sangat ramah,5 months ago,0,Netral,Positif,layan ramah
madhan sgp,5.0,"Makasih mas leptop nya bagus, lokasi sesuai, banyak sekali pilihan, monggo yang mau cari leptop bisa langsung datang ke stornya yaaa, masnya siap membantu sesuai kebutuhan Anda.",2 years ago,0,Netral,Positif,makasih mas leptop nya bagus lokasi sesuai pilih monggo cari leptop langsung stornya yaaa mas bantu sesuai butuh
Bihan Firman Wicaksono,5.0,"Pelayanan mantap, laptop masih bagus",7 months ago,0,Netral,Positif,layan mantap laptop bagus
Sutan Hanif,5.0,"Recommended bgt buat kalian yg cari laptop second tp kualitas ajib. Layanan pun memuaskan, kalian nggak bakal kecewa🔥",3 years ago,0,Netral,Positif,recommended bgt yg cari laptop second tp kualitas ajib layan muas nggak kecewa
Arif hidayad,5.0,Bintang 5 buat pelayanannya dan banyak diskon serta harga paling okee sejogja👍,a year ago,0,Netral,Positif,bintang layan diskon harga okee sejogja
Surya Darma,5.0,Paling mwantep,3 months ago,0,Netral,Positif,mwantep
Jaluweh _,5.0,Jual Beli laptop Gaming rekomended di jogja,a year ago,0,Netral,Positif,jual beli laptop gaming rekomended jogja
Tiara Kusuma,5.0,"Pelayanan oke , staff ramah 👍🏻",7 months ago,0,Netral,Positif,layan oke staff ramah
Ajar Pradika Ananta Tur,5.0,"Highly Recommended place for you to get 2nd laptop with high specifications but affordable.

Pelayanannya baik
Ownernya supel dan ramah dan jika Anda beruntung, Anda akan mendapatkan bonus konsultasi gratis untuk menjaga mental health Anda tetap baik.
Trust me! I did it. He is a man loving listening to you.

Good luck buat Hero Laptop.",3 years ago,0,Positif,Positif,highly recommended place for you to get nd laptop with high specifications but affordable layan ownernya supel ramah untung bonus konsultasi gratis jaga mental health trust me i did it he is a man loving listening to you good luck hero laptop
M. Gymnastiar,5.0,"Tempatnya nyaman, proses-nya cepat & responsif, harganya terjangkau. Sangat direkomendasi 👍",a year ago,0,Netral,Positif,tempat nyaman proses cepat responsif harga jangkau rekomendasi
Dwija Anggit,5.0,dapat potongan yg josss,3 months ago,0,Netral,Positif,potong yg josss
Yoricko_ o,5.0,Barang nya pada bagus bagus terjamin juga kebersihan nya the best lah hero computer 👍🏻,a year ago,0,Positif,Positif,barang nya bagus bagus jamin bersih nya the best hero computer
Fatchurohman Sipil 21 012,5.0,"Pelayanan mantap, store bersih adem, barang juga good condition semua, recomended untuk wilayah jogja sekitarnya.",3 years ago,0,Positif,Positif,layan mantap store bersih adem barang good condition recomended wilayah jogja
Rokhman Hidayat,5.0,Rekomend banget beli laptop dengan Harga yang murah . Dengan barang yang Ajibb banget. Pelayanan oke.,2 years ago,0,Netral,Positif,rekomend banget beli laptop harga murah barang ajibb banget layan oke
Mohammad Aulia Rahman,5.0,bagus laptopnya,a month ago,0,Netral,Positif,bagus laptop
043 Ongki Bagus,5.0,Rekomendasi sekali untuk kalian yg lagi cari laptop bekas berkualitas. Barang di jamin aman dan 100% original,2 years ago,0,Positif,Positif,rekomendasi yg cari laptop bekas kualitas barang jamin aman original
Muhammad Cahyo Setiyoso,5.0,"Tempat nya sangat nyaman untuk transaksi, penjelasan juga detail, dapet bonus juga, mantep pokoke",a year ago,0,Netral,Positif,nya nyaman transaksi jelas detail dapet bonus mantep pokoke
Alia Nutrisiany,5.0,"Barang ok, pelayanan ramah .. recomended banget deh kl mau cari laptop second masih garansi resmi 👍👍",3 years ago,0,Positif,Positif,barang ok layan ramah recomended banget deh kl cari laptop second garansi resmi
Ilham,5.0,"Pelayanannya ramah, cepat
Tempatnya nyaman
Banyak jenis laptop yang tersedia",a year ago,0,Netral,Positif,layan ramah cepat tempat nyaman jenis laptop sedia
didik wahyu,5.0,"Tempat nyaman, ramah sekali, pelayanan baik, laptop oke harga juga oke, dapet bonus mouse juga. Bakal recommend ke temen2 👍🏻",3 years ago,0,Netral,Positif,nyaman ramah layan laptop oke harga oke dapet bonus mouse recommend temen
balla diva,5.0,"Dari dulu udah pantengin ig nyaa, adminnya ramah mau ngasih informasi dan fast respon jugaa ratee 10000/10 ^-^",2 years ago,0,Positif,Positif,udah pantengin ig nyaa adminnya ramah ngasih informasi fast respon jugaa ratee
Sandy Permana,5.0,Tempat nyaman dan pelayanan bagus,3 years ago,0,Netral,Positif,nyaman layan bagus
Nanda Wahyu,5.0,Bisa jual laptop,3 months ago,0,Netral,Positif,jual laptop
Helena Rachelia Natasha Odja Lanoe,5.0,Bisa jual laptop,3 months ago,0,Netral,Positif,jual laptop
Shopi Setiawan,5.0,"Recomended buat yang lagi nyari laptop, joss pokonya pelayanan dan unit nya top markotopp 👍👍",a year ago,0,Positif,Positif,recomended nyari laptop joss poko layan unit nya top markotopp
Wira Rizky,5.0,Laptop kualitas tinggi dan pelayanan sangat baik.,7 months ago,0,Netral,Positif,laptop kualitas layan
Afeb Chesa Arianto,5.0,"Alhamdulillah dapat barang berkualitas dan mantap

Mantau terus di akun instagramnya yang update, adminnya juga fast respon 🙌👍🏻",3 years ago,0,Positif,Positif,alhamdulillah barang kualitas mantap mantau akun instagramnya update adminnya fast respon
Yoga Dwi Cahyono,5.0,"Tempatnya nyaman, barangnya bagus bagus",6 months ago,0,Netral,Positif,tempat nyaman barang bagus bagus
