nama_penulis,rating,teks_ulasan,waktu
indo sri wealth,5,Ok,6 tahun lalu
Rental Motor Yogyakarta,1,"Paraaah antrian kasirnya, ga ada perkembangan",6 tahun lalu
Indar Wati,5,"Swalayan yang harga terjangkau,, pegawai yang amat ramah..
.. tapi kalau awal bulan hati2 antrinya panjangggg",6 tahun lalu
Fatka Agung,4,"Tempat nyaman, langganan buat belanja bulanan, relatif murah harganya, komplit barangnya... Sering PROMO pula",Diedit 6 tahun lalu
Meltech Solusindo,4,"Barang komplit, nyaman, murah sering PROMO",6 tahun lalu
Rina Anjarwati,5,Bgs pelayanan nya,6 tahun lalu
Sappu Bithing,4,"Tempat belanja pilihanku karena harga lebih terjangkau ketimbang tempat lain.

Parkir cukup luas utk motor, tp kalau udh masuk mobil-mobil jadi terlihat sempit dan luber ke jalan aspal sehingga mengganggu kendaraan yg melintas.

Pelayanan perlu ditingatkan lagi, terutama utk bagian kasir yg memakai troli/keranjang dan non troli dipisah supaya yg berbelanja hanya beberapa item saja bisa lebih prioritas dan tdk menunggu terlalu lama.

Untuk sistem keamanan ditingkatkan lagi, terutama dilengkapi sensor anti maling dipintu keluar masuk. Ini pastinya sangat bermanfaat sekali utk berjaga-jaga.

Gimana lur tanggapanmu? ",6 tahun lalu
yakobus dikha adi pratama,5,"Nyaman untuk berbelanja, dan lumayan lengkap. Hanya saja karyawan sangat banyak dan kadang suka berkumpul, sehingga saat ramai lorong2 tempat belanja jadi susah bwt di lewatin",6 tahun lalu
Andika Wahyu Wibowo,4,Murah meriah merakyat harga terjangkau,6 tahun lalu
Ajeng Sitoresmi,5,My favorite place to do weekly shopping. Very affordable and often offer many extra discounts.,6 tahun lalu
Harni Suharni,4,Parkir mobilnya gak terlalu luas,6 tahun lalu
anisa putri,5,Cukup nyaman dan besar.. parkiranya juga sudah diperluas.. top,6 tahun lalu
lini poespita,4,Terjangkau harganya... bersih cukup lengkap tapi akses parkir susah,6 tahun lalu
Eneas Putra Asmara,5,Ok,6 tahun lalu
Dee Kris,4,Lengkap semua ada di sini,Diedit 6 tahun lalu
ugy sugiarto,5,Lengkap.... Buah2an dan sayurmayurnya fresh berkualitas ...,6 tahun lalu
Loonsay,5,Hampir semua kebutuhan rumah tangga bisa kita dptkan disini,6 tahun lalu
Tristi Yuniarsih,5,Senang berbelanja di Mirota semua kebutuhan lengkap.parkir luas,6 tahun lalu
Dewi Anggraeni,4,Suka tapi sering antri panjang di kasir,6 tahun lalu
mumtaza salsabila,5,"Tempat belanja yang sering memberikan diskon, dan harganya yang relatif murah serta terdapat banyak sekali barang kebutuhan rumah tangga yang diperlukan",6 tahun lalu
condro lukito,4,Bagus,6 tahun lalu
Rian Hidayat,5,Lengkap dan Murah..,6 tahun lalu
Rona Kyzar Veti,5,Lumayan lengkap dan dekat rumah,6 tahun lalu
dian kurnia rizki,5,murah meriah nyaman,Diedit 6 tahun lalu
Bima Putra,2,Tidak terawat,6 tahun lalu
Aiu 44,3,"Antrinyaaaaaa... Aduhaii...
KaLo kesini, pas sepi aja. Kapan sepi? Nggak tau.
Yang pasti hindari awaL dan akhir buLan.
Kesini pas tengah buLan ja, terus, pas jam jam kerja. Jam 10 an Lah. Mending",6 tahun lalu
Ari Chandra,5,Komplit,Diedit 6 tahun lalu
Bryant Mahesa,5,Pas..  Deket rumah,6 tahun lalu
Afifah C,5,"cari apa aja ada/lengkap
harga terjangkau
cocok klo anak kost cari kebutuhan disini",6 tahun lalu
MAYANG P,5,"Ternyata lebih murah belanja dimirota, harga terjangkau  , antrian teller selalu panjang",6 tahun lalu
Syarif Nurdianto,4,Heem,6 tahun lalu
Hanarini Suparto,3,Tidak selengkap mirota kampus simanjuntak,6 tahun lalu
Ve,5,Tempat belanja favorit,6 tahun lalu
Ririz rizqi,4,"Alhamdulillah kalau dulu malas ke sini karena g punya parkir mobil, sekarang selatan mirota ada lahan untuk parkir mobil pelanggan. Jadi nggak perlu takut2 bakal ditlakson orang n bikin macet.... Cuma mmng barang nya blm selengkap di godean sih... Semoga selalu berproses lebih baik lagi",6 tahun lalu
Pika Yolanda,5,Tempat belanja yang hemat tempat belanja yang bersahabat ,6 tahun lalu
Nawida Y.,4,"Barang cukup lengkap, lebih murah dari tempat lain menurut saya. Namun, pelayanan perlu ditingkatkan.",6 tahun lalu
Fista Dw,4,"Nyari apa aja disini lumayan lengkap. Pelayanan di kasirnya juga ramah. Untuk harga nya standart malah beberapa terbilang lebih murah daripada swalayan yang lainnya.
Lokasi nya strategis berada di pinggir jalan palagan atas.
Hanya saja untuk parkir mobil kadang penuh dan bingung memarkirkan mobil karena mau tak mau harus parkir di pinggir jalan.",Diedit 6 tahun lalu
Mas Pakem,5,"Tempat belanja yg lumayan komplit dr peralatan rumah tangga, elektronik, pakaian, tas, kosmetik, mainan anak2, alat sekolah, aneka roti, sayur mayur buah,dsb.
Fasilitas, ada parkiran, toilet n Mesin ATM.",6 tahun lalu
Esty Puji,5,"Lumayan komplit, murah and dekat jalan. Akses mudah. Lahan parkir mobil n sepeda motor terpisah.",6 tahun lalu
Pine Geosa,4,Tempat termurah utk belanja emak emak. Apalagi diskon  diskon di hari jumat. Favorit pokoknya,6 tahun lalu
Aviani Dewi,4,Kalau malem selalu antre panjang waktu pembayaran.,6 tahun lalu
Rizka Sunniya,4,Murah,6 tahun lalu
Palagan Pet Cargo,5,Ok,6 tahun lalu
Antaria Kurniati,5,Parkiran mobil luas skrg ,6 tahun lalu
Roemah ArtGanta,5,"Mirota selalu yg terbaik,.lengkap & Murah",6 tahun lalu
hary cahyadi,4,"Cukup lengkap, parkir sangat sempit dan susah",6 tahun lalu
Yayak Hidayat,5,Dekat rumah n murah,6 tahun lalu
Ahmad Hidayatullah,5,Tempat belanja istimewa..,6 tahun lalu
Tyas Fajarianti,4,Temat belanja yg lengkap dan nyaman..cm antrinya yg super,6 tahun lalu
Sheva Anto The Blues,5,Tempat belanja terlengkap dan muraaah,6 tahun lalu
Atik Suryaningsih,5,Harganya mantaf diantara yg lain,Diedit 6 tahun lalu
Carla Sih Prabandari,3,Parkir susah. Antri kasir panjang dan lama.,6 tahun lalu
Ajeng Laras Surani,5,Tempat belanja terpercaya,Diedit 6 tahun lalu
Nadia Hasna,5,pas banget buat kebutuhan mahasiswa,6 tahun lalu
christina widya,3,"Bagus, lengkap, variasinya banyak untuk satu jenis barang hanya sayang lama di kasir/pembayarannya karena hanya ada dua yang jaga (satu kasir tutup).
Mungkin ke depan apabila antrian panjang, kasir dibantu staf lain untuk memasukkan barang ke kantong plastik agar cepat.",6 tahun lalu
Wiwit 11,5,Menyediakan semua perlengkapan rumah tangga dan keperluan anak kost di jogja.,6 tahun lalu
Wakhid Nur Ihsan,5,Serba lengkap,6 tahun lalu
steve kanisius,5,Mantaplah ada Mirota di sebelah utara Kota Jogja Jerry bagi yang tinggal di sekitaran daerah Utara Jogja tidak harus sampai ke Jogja dan bisa menikmati belanja Di Mirota dengan segala fasilitasnya salah satu yang menyenangkan belanja Di Mirota adalah parkirnya murah hanya Rp1.000 untuk motor,6 tahun lalu
Gusti Fadhil,5,murah,6 tahun lalu
anwar irawan,5,Yu belanja,6 tahun lalu
Adjie Dewa,3,Parkiran mobil sempit,6 tahun lalu
Teguh Susanto,5,Rame,6 tahun lalu
matches all,4,ok,6 tahun lalu
rizki risdi ayudya,5,Teratur nata barangnya jadi ga pusing nyari nyari ini itu...,6 tahun lalu
Aditya Wijayanto,5,Sebaiknya 1 kassa 2 orang agar lebih efektif dan tidak terlalu lama antri. Ini sangat membosankan,6 tahun lalu
Muhammad Kuntoro,4,Tetap merasa murah,6 tahun lalu
Agus Raharjo,5,murah harganya..apa lagi kalau jumat..banyak diskon,6 tahun lalu
Tri Wahyuni,5,"Tempat belanja favorit, harga murah.",6 tahun lalu
Riyan Prasetya,5,"Pelayanan ramah, tempat bersih & harga bersahabat ",6 tahun lalu
Fatkhur Iksan,5,Sangat nyaman dan murah2,6 tahun lalu
Nunik Pangestuti,5,Tempat tujuan mencari sesuatu yg murah,6 tahun lalu
Yanie Hartanto,5,Murah dan menyenangkan,6 tahun lalu
Wahyu axa,4,Parkirannya luas,6 tahun lalu
Budi Santoso,5,Hallo Mirota palagan,6 tahun lalu
erna kurniawati,5,"Semua kebutuhan ada, lengkap mulai kosmetik sampai keperluan rumah tangga, harga relatif murah dibanding supermarket yg sejenis",6 tahun lalu
Andrei Siallagan,4,Very good store,6 tahun lalu
Galih Satrio,5,Awal bulan kasirnya pasti panjang banget,6 tahun lalu
Fransisca Maria,5,"Swalayan yg lengkap dari kebutuhan rumah tangga, alat sekolah dan keperluan lain dengan harga cukup terjangkau. Kadang jg ada promo2 dan diskon nya",6 tahun lalu
Fatih Adli Moh.,5,Belanja barang sehari-hari selalu disini.... Harga ramah sama kantong mahasiswa ,6 tahun lalu
Dewi Puspitasari,4,"Terkadang kalau awal bulan ramai banget n ngantri dikasir mengular panjang.
Perlengkapan dan kebutuhan yang kalian perlukan tersedia disini",6 tahun lalu
Diah Farifah,5,"Kualitas oke, harga terjangkau,",6 tahun lalu
Prast Puspowardoyo,5,Cheapest place to shop,6 tahun lalu
DWI CTM,5,tersedia banyak barang2 kebutuhan pokok harga lmyan murah,6 tahun lalu
Fajar Shifa,4,Mantap.,6 tahun lalu
Farah Dzakiyah,5,"Lebih lengang dari mirota kampus terban tapi ttep ae si rame, lengkapp dan terrmurah, apalagi jumat banyk diskon.. parkirnya lumayan kecil",6 tahun lalu
Luqman Fahd Muktiwibowo,5,Barangnya lengkap dan harganya terjangkau.,6 tahun lalu
eri fajrianik,5,"Isinya lengkap dan murah, tp lebih lengkap mirota kampus depan ugm karena emg lebih gede",6 tahun lalu
Rizal Setyawan,5,Murahhhhhh,6 tahun lalu
vian shinoda,4,Telurnya sesuai,6 tahun lalu
Franky Sipahutar,5,Sangat membantu..di samping dekat dgn rumah hrg sangat bersahabat,6 tahun lalu
Toriq Sinaga,5,Lengkap juga ternyata,6 tahun lalu
Felicia Arum,4,Tempat belanja yg cukup komplit dan harga  terjangkau..cocok untuk belanja bulanan.,6 tahun lalu
MYMLUQFATWA JOGJA,4,Langgananku...Konter obat judes,6 tahun lalu
Pretty Sheikina,5,"Tempat belanja sejuta umat Jogja banget sih ya. Saran kalau ga mau antree panjang di kasir, datang dan bayar jangan jam 6 sorean. Pas jam buka nah itu dijamin sepiiii (yg kerja kantoran bisa pas hari libur tuh..mirota ga pernah tutup kecuali lebaran kayaknya ya)",6 tahun lalu
SAEFUL ANWAR SA (Awang),5,Serba lengkap..tpi kasire kurang cepet,6 tahun lalu
Rudy Gunawan,5,T4 belanja hemat murah,6 tahun lalu
Gino Febrori,5,belanja hadiah rumah.. semoga berkah,6 tahun lalu
Djazuli Suprapto,4,"Barang cukup lengkap, harga cukup bersaing ,pelayanan bagus",6 tahun lalu
Puspa Puspita,4,good place for shopping daily need. the place is not big enough. difficult parking for cars in the store but they provide extra space for car near the store,6 tahun lalu
Nesya Baryana,4,Minimarket yg menyediakan berbagai mcm kebutuhan sehari2 lengkap semua ada dstu.,6 tahun lalu
Sulastri Tri,5,Ok,6 tahun lalu
Rierie,5,Tempat belanja yg byk prlengkapan,6 tahun lalu
dieta singarimbun,5,"Tempat belanja retail terdekat dari rumah, selalu ramai dan selalu lengkap. Sangat membantu sekali terutama untuk memenuhi kebutuhan yang mendadak. Terima kasih Mirota!",6 tahun lalu
Roberta Eka,4,Bagus harga cukup murah,6 tahun lalu
dhiemas agsan,5,Destinasi belanja yg murah dan komplit,6 tahun lalu
Ayu Tatha,5,budayakan antri.,6 tahun lalu
Wisata Gowes Kuliner,4,Harga lebi murah dari indomaret sebelahnya,6 tahun lalu
St Zuly Zul,2,"Harus teliti belanja disini terutama jika belanjaan banyak,  karena harga di rak pajang sering tidak sesuai(lebih mahal)dengan harga di kasir.",6 tahun lalu
kurowo,5,Antriinya 1 jm,6 tahun lalu
Mips,4,Disini cukup tenang karena tidak seramai mirota kampus yang lain seperti Mirota Godean dan Mirota Simanjutak yang sangat ramai.,6 tahun lalu
Andi Aswanto,5,Bagus..,Diedit 6 tahun lalu
Septa Kurnia,5,"Langganan nih kesini, karna tidak terlalu jauh dari rumah",6 tahun lalu
erchie 19,5,"Langganan tempat belanja dr jaman purba...  Lengkap, murah, dekat... Dan skrng udah punya parkir mobil...",Diedit 6 tahun lalu
abimanyu sasongko,5,Baguss,6 tahun lalu
gudang setiker,5,Nyaman bersih murah,Diedit 6 tahun lalu
Chom. Didiks,5,Sering belanja dan memang harga murah.,6 tahun lalu
khoiru ajip,4,Barang yang dijual tidak terlalu lengkap,6 tahun lalu
agung nugroho,4,"tempat lmyn luas & nyaman,parkir luas cm klo pas weekend..antrinya mantaavv boss.
cmiiw",6 tahun lalu
Anto ',2,"Kasir suka nya ngobrol sesama karyawan, anak magang, SPG.  jd pembeli pas transaksi ga di peduliin mereka asyik ngobrol masalh pribadinya... Walaupun tangan kasir ngetik meng input pembelian barang dr coustumer #tidakbisamenghormati",6 tahun lalu
Rizka Farizal,5,Lengkap,6 tahun lalu
Ajeng Wulandari,4,Sippp,6 tahun lalu
Alfian,5,"Tempat untuk belanja, banyak diskonan.. Ada 2 lantai.. lantai bawah untuk keperluan sehari-hari dan antai atas untuk baju dan alat tulis..",6 tahun lalu
Wibowo Budiharjo,5,"Murah dan lengkap, awal bulan pasti penuh",6 tahun lalu
vioo 99,4,"Mirota adalah tempat belanja yg murah di jogja,  sesuai dengan akntong mahasiswa.  Tempat ini selalu ramai oleh pelanggan,  harus sabar kalau antri di kasir.",Diedit 6 tahun lalu
Reza p,4,Moga eksis makin laris dan nyaman bagi pengunjung,6 tahun lalu
Joseph arianto,5,"tempat belanja kebutuhan sehari-hari lengkap, parkir mobil kurang",Diedit 6 tahun lalu
Isa Dwi,5,Murah mudah nyaman,6 tahun lalu
Kristian Nilastyo Putro,5,Harga bersaing,6 tahun lalu
LAELATUL KARUNIA RACHMAWATI,4,"Mirota kampus disini letaknya di kiri jl kalau dr arah selatan, sekarang mirota udah nyedian parkir buat mobil jg tp bukan didepanny y gaes jd ky nyewa lahan gitu, biasany dimirota suka orimo tiap jumat sabtu minggu. Tp y gitu kadang antrian di kasirnya itu yang lama banget",6 tahun lalu
Juan Alex,1,"Buruk.diskon harga ga sesuai.pelayan ga ramah,jutek,kurang senyum,parkirnya apalagi.. Ngawur",6 tahun lalu
Isreozeky Fathana,5,"Lengkap, murah, banyak pilihan, banyak discount",Diedit 6 tahun lalu
adhy Karyana,4,Parkir susah. Terlalu padat dengan jualan jadi tidak leluasa mau belanja.,Diedit 6 tahun lalu
Cahya Apriana,5,Parkir mobil susah,6 tahun lalu
Bayu Mukti,5,"Murah, lengkap, cuma kurang parkir ",6 tahun lalu
erry wahyuni,5,Menyenangkan,6 tahun lalu
Exta Indra,5,"Tempat berbelanja kebutuhan pokok seperti sembako yang lengkap. Harganya juga murah. Cocok buat pembelian banyak agar seimbang dengan antrinya di kasir.

Bagi yang mau
Sewa & Rental KoperJogja
Instagram : @RentalKoperJogja",6 tahun lalu
Ary Dwi Sasmito,5,Serba ada,6 tahun lalu
eko budi astuti,4,Tempatnya nyaman buat belanja cuma agak sempit saja kl pas pembelinya buanyaaaaak......,6 tahun lalu
Bella M,4,"Beli kue kering dan belanja kebutuhan lebaran. Harganya murah"" banget",6 tahun lalu
Eko Yulistiyanto,5,Belanja nyaman,6 tahun lalu
bude tuti,4,bagus,Diedit 6 tahun lalu
pauluswisnu h,3,Harga agak grosir lagi gan,6 tahun lalu
Sudio Edo (dinnergraph),5,"Harga rata2, kadang ada diskon dan komplit",6 tahun lalu
Hesti Setyorini Pamungkas,5,Belanja komplit dan lengkap ,Diedit 6 tahun lalu
Galih Setyo Putro,5,"Salah satu tempat belanja murah di Yogyakarta. Ada banyak cabangnya dan di Jalan Palagan adalah salah satunya. Kalau dulu, mobil selalu susah parkir karena lahan terbatas, sekarang sudah disediakan lahan khusus parkir di sebelah selatan Toko.",6 tahun lalu
Nuna Nia,4,"Tempat belanja plg murah di sekitar jl. Palagan, jl.kaliurang, banyak diskon klo hari jumat terutama make up dan skincare, produk lengkap dr makanan, toiletries, sembako, alat elektronik, softbread, tart, pakaian, tas, sandal, sepatu, perkap skolah, jam, obat, sayur dan buah segar, frozen food, ice cream, pembayaran bisa tunai, debet, credit, ada atm jg di depan toko, kamar mandi jg tersedia, parkir cukup lega klo sepeda motor, parkir mobil kdg rada susah krn tempatnya terbatas. Pramuniaga nya sgt helpfull, tukang parkirnya jg sgt helpfull,",6 tahun lalu
slamet mulungan,4,Tempatnya lumayan nyaman harga terjangkau....,6 tahun lalu
CH Marlina WuLandari,2,kasirnya yg nggak ramah,6 tahun lalu
Fitri Hidayah,5,Murmer.. lumayan lngkap.. bbrapa produk tersedia dg kmasan mini2.. soalnya kdg suka susah cari swalayan yg ngejual produk mini2 Dan trnyata dsini trsedia.. selalu rame ya.. hrus sbar mengantri saat d kasir..,6 tahun lalu
Dee Handayani,5,Convince store,6 tahun lalu
Rahajeng Anindyajati,4,"Suka ke sini buat belanja make up di lantai 2, karena lebih luas daripada Mirota UGM dan gak terlalu rame jadi gak riweuh.",6 tahun lalu
Yun Yuntarti,4,"Banyak bahan makanan, sayuran segar, barang pecah belah, pakaian, mainan anak, dsb.",6 tahun lalu
Budi Wisedewa,4,swalayan yg komplit dan nyaman buat belanja,6 tahun lalu
Cheria Noezar,5,Tempat belanja murah meriah. Barangnya lumayan lengkap. Hanya saja tempat parkir mobil terbatas jadi mending ke sini pakai motor aja.,6 tahun lalu
aris suhartoyo,5,Lengkap dan murah,6 tahun lalu
Sartika wulanjari,4,Bagus,6 tahun lalu
nita sm,4,"Selalu suka brlanja di mirota, harga murah pelayanan ramah.
Mirota kampus palagan ini tempatnya tidak terlalu luas.",6 tahun lalu
Unan Oktiawati,5,rame selalu,6 tahun lalu
Me anita,3,Good,6 tahun lalu
Joko Nugroho,1,Tempat pakir mobilnya kurang luas,6 tahun lalu
Dewi Intan,5,parkirnya kecil :(,6 tahun lalu
Anny Budiningsih,4,"Tempatnya nyaman,cma karena mau lebaran agak suk2an ,pelayanan baik",6 tahun lalu
ADITYA Suryadarma Bagaskara,4,Murah,Diedit 6 tahun lalu
Haris Vlog,3,Parkir mobil sempit,6 tahun lalu
tk tunas bangsa,5,Penuh sesak menjelang lebaran,6 tahun lalu
Arian Kusmayadi,4,Nyaman dan murah belanja di sini tapi  parkiran mobilnya kurang besar....,Diedit 6 tahun lalu
Bonny Kariem,5,I love it,6 tahun lalu
Nadia Maisara,5,"Tempatnya bagus dan ada pakir sebelah. Jadinya kalau yang di depan mirota kampus palagannya full atau penuh. Bisa pakir di sebelah juga. Tapi, biasanya antriannya yang panjang banget sumpah demi Allah. Antriannya seperti ulat naga panjang. Panjang banget sumpah. Walaupun pegawainya ada banyak. Tetapi tetap rame sumpah demi allah.",6 tahun lalu
Ag Kabul Sutrisno,3,"Lumayan sdh ditambah tempat parkir mobil, sdh sedikit memberi kenyamanan, namun perlu dipikirkan lebih lanjut krn pengunjung semakin membludak.",6 tahun lalu
Ary Diani,3,Murah tapi sumpek ...,6 tahun lalu
marwa pipit,5,Solusi tempat belanja bulanan untuk warga jogja utara.,6 tahun lalu
misda winda.,5,Sip jauh lebih murah dari yg lain,6 tahun lalu
Anggoro Dwipo,5,murah,Diedit 6 tahun lalu
Ferry Andrianto,5,mantab,6 tahun lalu
Dwi Adhari Nugraha,4,"Harga relatif lebih murah dibandingkan tempat lain, stok barang tersedia cukup banyak dan lengkap. Kalau mau belanja banyak, Mirota Kampus tempatnya. Tapi kalau hanya mau nyari satu atau dua item, mending ditempat lain aja. Soalnya antrian kasirnya sering rame wkwkwk",6 tahun lalu
TH. Any Indar Kuswati,4,Swalayan di jl palagan,6 tahun lalu
Dina,5,Sama dengan Mirota Kampus Simanjuntak. Cuma lebih kecil dan lebih sepi dan berlokasi di Jl. Palagan.,6 tahun lalu
Misbahul Jannah (Uul),5,Swalayan terlengkap.,6 tahun lalu
Siti Umi Fadhilah,5,Perbelanjaan lengkap apalagi bagian dapurnya,6 tahun lalu
Ivan Setiawan Sanjaya,5,Murah,6 tahun lalu
Kechiel Handoyo,4,lumayan komplit,6 tahun lalu
Pengguna Google,4,"Tempatnya sempit,lahan parkirnya semrawut",6 tahun lalu
Dewi Widiasih,4,Nyaman untuk belanja.,6 tahun lalu
09 Izhaty Nadra,5,"Murah meriah! Apa aja ada disini. Keperluan sekolah, baju, keperluan dapur sampe make up juga ada.",6 tahun lalu
"istriyani ,",3,Barang lengkap tapi antrian kasir panjang. Parkir motor Rp. 1000. Parkir mobil terbatas,6 tahun lalu
Hadi Yoshi,4,Parkiran mobil minim.. tapi komplit dan murah..,Diedit 6 tahun lalu
Narendrasenja Prabowo,5,Lengkap barang2y,6 tahun lalu
Papaliya,5,Kompliiit,Diedit 6 tahun lalu
tri wahyudi yudi,5,Mbak e...apikan gelem duduhi nggone susu chil mil,6 tahun lalu
Fiqhi Hidayat,3,harganya kurang bersaing...,6 tahun lalu
Suswan Dono,5,Tempat belanja keluarga nyaman tempatnya.,6 tahun lalu
Sudamar Nur Ma'rufi,4,"Salah satu swalayan yang terdapat di jalan palagan, terletak di barat jalan sebelah utara Hyatt.",6 tahun lalu
Banjar SAS,3,"Tidak selengkap mirota ugm,parkir motor mobil sangat terbatas,terkadang meluber sampai pinggir jalan.",6 tahun lalu
Fenny Trisnawati,5,"Tempat belanja bulanan. Kadang ada diskon menarik. Jual acesories, baju dan alat make up jg. Ada toilet yg bersih utk pengunjung. Sayangny tmpat parkir sempit... ",6 tahun lalu
Hesti Rachma,5,Murah,6 tahun lalu
Aruna Mey Rina,4,Menyenangkan,Diedit 6 tahun lalu
3M Creative,3,"tempat nya kecil, tapi ramai pengunjung, untuk parkir mobil masih minim, daya tampung parkir mobil sangat terbatas",6 tahun lalu
Erwan Tiono,5,Pelayanan di sini rata2 sangat ramah harga bersaing.,6 tahun lalu
noph 3w,4,"sayangnya cuman 1, gak ada ATM BCA ",Diedit 6 tahun lalu
Kartika Wahyu13,5,Bagus tempatnya..pelayanannya baik,6 tahun lalu
Annas Makruf Haifani,5,Komplit,6 tahun lalu
Clara Risti,5,jangan ke sini pas hari Jumat sore kalo nggak mau ngantri lama,6 tahun lalu
Chinta Imbran,5,Best place for shopping groceries,6 tahun lalu
JEJAK IRUL,5,"Mantaefepp... Amen menurut ane belanja disini lebih ekonomis mbangane neng pasar tradisional... po meneh nek pas dino jumat banyak barang promo yang aduhai bikin emak2 blonjone sak ndayak,,,,,tempat belanja mingguan & bulanan favorit",6 tahun lalu
Indah Devi,3,"Lumayan lengkap, harga murah, antri kasir panjang",6 tahun lalu
Silviana Aeni,4,Mayan lah belanja disini,6 tahun lalu
urip wijaya,5,Luar biasa pelayanan yg ramah. Harga murah,6 tahun lalu
irfa rezqia,4,"Suasananya enak, gk terlalu crowded spt mirota kmpus UGM. Tapi sepertinya tidak trlalu komplit, kayak nugget, kentang gorenf curah atau lainnya..",6 tahun lalu
Anyke dian,3,Antri lama di kasir,6 tahun lalu
roesma narulita,5,"Harga murah, pelayanan baik, selalu jadi pilihan tempat belanjaa",6 tahun lalu
Dian Isnawati,5,"Selalu nunggu hari jumat, biar dapet diskon.. belanja lebih hemat.. hehehe",6 tahun lalu
Diani R,4,Klo di kasir antrinya banyak jadinya gak jadi belanja di sini hehehe,6 tahun lalu
Doni Adi Priyambada,4,"Terletak di Jl Palagan. Dibandingkan sama Mirota Godean, Mirota Palagan lbh kecil sih. Lantai 1 isinya bahan makanan dan kebutuhan rumah tangga lainnya. Lantai 2 isinya pakaian (tidak lengkap sih menurutku). Sukses selalu Mirota Palagan ",6 tahun lalu
Sinta Tiwi,5,Produk lengkap,6 tahun lalu
tika andriani,5,"Tempat belanja terlengkap dan termurah, apalagi kalau sedang promo. Sekarang parkir mobil yang lebih luas jg sudah tersedia untuk memudahkan pelanggan, berada di selatan toko.",6 tahun lalu
Nurhadi (Ken//Dr),5,Cari cari,6 tahun lalu
MUHAMMAD TAMRIN,4,Cocok banget untuk melengkapi kebutuhan rumh tangga,6 tahun lalu
Robiatul Adawiyah,5,"Barangnya yang dijual murah,, tapi rak barang barangnya dipindah terus jadi bikin sulit buat nyari sesuatu",6 tahun lalu
Mochammmad Irvan,4,"Barangnya lengkap (keb rumah, buah, sayur, kosmetik, glassware, dll) harganya lebih murah dibandingkan modern market lainnya, parkirnya sempit sekali sehingga kurang nyaman jd bintang 4 saja ",6 tahun lalu
Eka Pede,4,"Deket sih,lumayan murah dan lengkap. Tp parkiran mobil terbatas. Motor juga parkiran kurang kalo pas tgl muda. Hadeeeh...",Diedit 6 tahun lalu
Harey Prasetyo,5,playanan ok,6 tahun lalu
Aulia Sekar Puspateja,4,Isinya super murah meryah plus sering ada pamet bundle jadi lebih murah. Sangat lengkap kecuali untuk bahan2 segar,6 tahun lalu
Dwi Hendry,5,Tempat belanja yang murah parkirnya juga luas apalagi sekarang tempat parkir mobilnya juga luas..,6 tahun lalu
Cahselow Corporation,4,"Komplit, sering Ada promo diskon, minusnya klo pake Mobil agak susah dapat parkir...",6 tahun lalu
Gatot Wahono,5,Sekarang ada tambahan area parkir mobil di sisi selatan mirota..  Jadi mendingan sehhh..,6 tahun lalu
Nuefendi,5,Nice se,6 tahun lalu
Ristika Ayu,5,Banyak promo di hari jumat-minggu,Diedit 6 tahun lalu
nuryunita dewantari,3,"Kecewa dengan pelayanan di Mirota Kampus Palagan.... Baru saja kemarin belanja disana, beli sabun dettol ada tempelan voucer 4000, tapi ternyata pas sampai rumah baru ngeh kalo harga sabunnya tetap, sama aja voucernya ga guna..... Padahal biasanya klo beli sabun dettol ada tempelan voucer gitu di Mirota kampus lain dapat potongan harga sesuai voucer yang tertera.... Klo memang voucernya sudah ga berlaku kenapa masih di tempel di produknya..... Percuma kan ada tulisan voucer tapi ga dipotong harganya....",Diedit 6 tahun lalu
Santi Sant,5,Toko serba ada,6 tahun lalu
Candra Tri Admadi,4,Tempat belanja harga murah,6 tahun lalu
eddy puspoyono,5,Banyak promo di hari jumat,6 tahun lalu
Maelani didin,5,"Lumayan komplit,harga  terjangkau dan pelayanan yang ramah",6 tahun lalu
Indri,3,Friday always crowded ..,6 tahun lalu
bayu seto aji,4,Kalo weekend antri kasirnyaa..,Diedit 6 tahun lalu
Roma Rio,5,Komplit murah pelayanan bagus,6 tahun lalu
apsilia Primandini,4,Lebih baik jika ditambah lahan parkir untuk mobil,6 tahun lalu
Swisty Sw,5,Nice,Diedit 6 tahun lalu
Bale Arum,4,"Komplit, bersih cuman antrian kasir lumayan lama",6 tahun lalu
tujianto putra kelana,5,rame,6 tahun lalu
Dolanisworth,5,"Supermarket yang udah eksis dr taun 90an, murah, serba ada, dekat dari perumahan & kampus, pegawainya ramah2 & sopan, bersih, nyaman, kassanya jg banyak, keamanannya jg ok, parkirnya ok, cuma utk yg di Palagan parkir mobilnya agak susah, klo yg di Terban lahan parkir lebih luas. Klo mau kesini siang aja, agak sepi,, jam ramenya tanggal muda & sore-malam. Terimakasih Mirota Kampus",Diedit 6 tahun lalu
Chairina F,4,Engga seluas yg di deket UGM menurut saya,6 tahun lalu
Maria Astried Susanto,5,Kebutuhan pokok termurah ya disini,6 tahun lalu
Myesha Suwandi,5,favorit,6 tahun lalu
Adhika Kurnia,5,Harga barang2nya murah,6 tahun lalu
Djoe jogja,5,Sui antri,6 tahun lalu
#13rif Channel,4,Top,6 tahun lalu
